1994-01-01 | Size of misc in tokens: 1321905
       105 | Gesetz über den Deutschen Sparkassen- und Giroverband
       105 | Gesetz zu dem Abkommen vom 6. November 1964 zwischen der Bundesrepublik Deutschland und der Portugiesischen Republik über Soziale Sicherheit
       105 | Gesetz zu dem Vertrag vom 31. Mai 1988 zwischen der Bundesrepublik Deutschland und der Republik Österreich über Amts- und Rechtshilfe in Verwaltungssachen
       104 | Gesetz zur Änderung des Hauptfeststellungszeitraums für die wirtschaftlichen Einheiten des Betriebsvermögens sowie des Hauptveranlagungszeitraums für die Vermögensteuer
       104 | Viertes Gesetz zur Änderung des Wasserhaushaltsgesetzes
       104 | Gesetz über Entschädigungen für Opfer des Nationalsozialismus im Beitrittsgebiet
       103 | Gesetz zu dem Zusatzabkommen vom 12. Februar 1995 zum Abkommen vom 17. Dezember 1973 zwischen der Bundesrepublik Deutschland und dem Staat Israel über Soziale Sicherheit
       101 | Gesetz zur Änderung des Gesetzes über Rechte an eingetragenen Schiffen und Schiffsbauwerken, der Schiffsregisterordnung und des Gesetzes über die Zwangsversteigerung und die Zwangsverwaltung
       100 | Gesetz zu dem Abkommen vom 25. April 1973 zwischen der Bundesrepublik Deutschland und der Volksrepublik Polen über die Sozialversicherung von Arbeitnehmern, die in das Gebiet des anderen Staates vorübergehend entsandt werden
       100 | Gesetz zu dem Abkommen vom 15. März 1994 zwischen der Bundesrepublik Deutschland und der Republik Litauen über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen
        99 | Gesetz zu dem Übereinkommen vom 24. Oktober 1956 über das auf Unterhaltsverpflichtungen gegenüber Kindern anzuwendende Recht
        99 | Gesetz zu dem Abkommen vom 16. Dezember 1992 zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Russischen Föderation über die gegenseitige Hilfeleistung bei Katastrophen oder schweren Unglücksfällen
        98 | Neuntes Gesetz über die Anpassung der Leistungen des Bundesversorgungsgesetzes
        98 | Gesetz zur Erleichterung der Verwaltungsreform in den Ländern
        97 | Gesetz zur Änderung der Verordnung über die steuerliche Begünstigung von Wasserkraftwerken
        96 | Gesetz zur Umsetzung des Beschlusses des Rates (2003/725/JI) vom 2. Oktober 2003 zur Änderung von Artikel 40 Abs. 1 und 7 des Übereinkommens zur Durchführung des Schengener Übereinkommens vom 14. Juni 1985 betreffend den schrittweisen Abbau der Kontrollen an den gemeinsamen Grenzen
        96 | Gesetz zur Weiterentwicklung des Kassenarztrechts
        96 | Zehntes Gesetz über die Anpassung der Leistungen des Bundesversorgungsgesetzes
        95 | Gesetz zur Verleihung der Rechtsfähigkeit an das Gemeinsame Wattenmeersekretariat - Common Wadden Sea Secretariat (CWSS)
        95 | Gesetz zu dem Abkommen vom 16. März 1962 zur Ergänzung des Abkommens vom 26. August 1952 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft zum deutschen Lastenausgleich
        95 | Gesetz über die Errichtung von Testamenten und Erbverträgen
        95 | Gesetz zur Verlängerung der Schutzfristen im Urheberrecht
        93 | Gesetz zur Einordnung des Sozialhilferechts in das Sozialgesetzbuch
        93 | Gesetz zur Änderung des Einkommensteuergesetzes und des Investitionszulagengesetzes
        93 | Gesetz über den Verkauf von bundeseigenem Gelände in München zur Errichtung frei finanzierter Wohnungen, die während der Olympischen Spiele 1972 als Olympisches Dorf der Männer benutzt werden sollen
        92 | Gesetz zur Änderung des Deutsche-Welle-Gesetzes
        91 | Gesetz zur Änderung beamtenversorgungsrechtlicher Vorschriften
        91 | Gesetz über die Ergänzung von Vorschriften des Umstellungsrechts
        89 | Gesetz über die Berufe des Psychologischen Psychotherapeuten und des Kinder- und Jugendlichenpsychotherapeuten, zur Änderung des Fünften Buches Sozialgesetzbuch und anderer Gesetze
        89 | Viertes Gesetz zur Änderung des Güterkraftverkehrsgesetzes
        89 | Umwandlungsgesetz / Erstes Buch Möglichkeiten von Umwandlungen
        88 | Sechstes Gesetz zur Änderung des Personenbeförderungsgesetzes
        88 | Gesetz zu dem Zusatzabkommen vom 27. August 2002 zum Abkommen vom 14. November 1985 zwischen der Bundesrepublik Deutschland und Kanada über Soziale Sicherheit
        87 | Gesetz zu dem Vertrag vom 30. November 2011 zwischen der Bundesrepublik Deutschland und dem Zentralrat der Juden in Deutschland – Körperschaft des öffentlichen Rechts – zur Änderung des Vertrages vom 27. Januar 2003 zwischen der Bundesrepublik Deutschland und dem Zentralrat der Juden in Deutschland – Körperschaft des öffentlichen Rechts –, zuletzt geändert durch den Vertrag vom 3. März 2008
        87 | Gesetz zu dem Europäischen Übereinkommen vom 24. November 1983 über die Entschädigung für Opfer von Gewalttaten
        86 | Gesetz zur Änderung des Gesetzes über die Entschädigung der Mitglieder des Bundestages
        86 | Gesetz zu dem Übereinkommen vom 14. Dezember 1957 über Rüstungskontrollmaßnahmen der Westeuropäischen Union
        85 | Gesetz zur Übertragung von Aufgaben der Bundeswehrverwaltung auf neue Behörden der Personalmanagementorganisation der Bundeswehr
        83 | Gesetz zur Aufhebung von Sterilisationsentscheidungen der ehemaligen Erbgesundheitsgerichte (Artikel 2 des Gesetzes zur Aufhebung nationalsozialistischer Unrechtsurteile in der Strafrechtspflege und von Sterilisationsentscheidungen der ehemaligen Erbgesundheitsgerichte)
        82 | Gesetz zur Änderung des Gesetzes über die Erhaltung der Gräber der Opfer von Krieg und Gewaltherrschaft (Gräbergesetz)
        82 | Gesetz über die berechnungsrechtliche Behandlung von Investitionszulagen im preisgebundenen Wohnungsbau
        82 | Gesetz zu dem Abkommen vom 28. Mai 1969 zwischen der Bundesrepublik Deutschland und der Republik Türkei zur Änderung des Abkommens vom 30. April 1964 über Soziale Sicherheit
        82 | Gesetz zur Änderung steuerrechtlicher Vorschriften und zur Errichtung eines Fonds "Aufbauhilfe"
        81 | Gesetz über Begleitregelungen zur Einführung des digitalen Kontrollgeräts zur Kontrolle der Lenk- und Ruhezeiten
        81 | Sozialgesetzbuch - Allgemeiner Teil -
        81 | Gesetz zur Verbesserung der ambulanten und teilstationären Versorgung psychisch Kranker
        81 | Gesetz zur Vereinfachung der Planungsverfahren für Verkehrswege
        80 | Gesetz zur Begrenzung der Arzneimittelausgaben der gesetzlichen Krankenversicherung
        79 | Gesetz zu dem Staatsvertrag vom 16. Dezember 2009 und 26. Januar 2010 über die Verteilung von Versorgungslasten bei bund- und länderübergreifenden Dienstherrenwechseln
        79 | Gesetz zu dem Abkommen vom 12. Oktober 1968 zwischen der Bundesrepublik Deutschland und der Sozialistischen Föderativen Republik Jugoslawien über Soziale Sicherheit
        78 | Gesetz zu dem Abkommen vom 4. Oktober 1995 zwischen der Bundesrepublik Deutschland und der Republik Österreich über Soziale Sicherheit
        77 | Gesetz über die Militärseelsorge
        76 | Gesetz zur Änderung des Beamtenversorgungsgesetzes und sonstiger dienst- und versorgungsrechtlicher Vorschriften
        75 | Gesetz zur abschließenden Erfüllung der verbliebenen Aufgaben der Treuhandanstalt
        74 | Gesetz zur Aufhebung der Freihäfen Emden und Kiel
        74 | Gesetz zu dem Vertrag vom 3. März 2008 zwischen der Bundesrepublik Deutschland und dem Zentralrat der Juden in Deutschland – Körperschaft des öffentlichen Rechts – zur Änderung des Vertrages vom 27. Januar 2003 zwischen der Bundesrepublik Deutschland und dem Zentralrat der Juden in Deutschland – Körperschaft des öffentlichen Rechts –
        74 | Gesetz zu dem Übereinkommen vom 28. Januar 1981 zum Schutz des Menschen bei der automatischen Verarbeitung personenbezogener Daten
        72 | Gesetz zu dem Vertrag vom 27. Januar 2003 zwischen der Bundesrepublik Deutschland und dem Zentralrat der Juden in Deutschland - Körperschaft des öffentlichen Rechts -
        72 | Gesetz zur Neuregelung des Asylverfahrens
        71 | Gesetz zur Änderung des Gesetzes zum NATO-Truppenstatut und anderer Gesetze
        70 | Gesetz zur Aufhebung des Fischwirtschaftsgesetzes und der Fischwirtschaftsverordnung
        69 | Gesetz zu dem Abkommen vom 11. September 1970 zwischen der Bundesrepublik Deutschland und den Vereinigten Staaten von Amerika über die Rentenversicherung gewisser Arbeitnehmer der Landstreitkräfte der Vereinigten Staaten von Amerika
        68 | Gesetz zu dem Vertrag vom 14. April 2014 zwischen der Bundesrepublik Deutschland und der Weltgemeinschaft Reformierter Kirchen – Körperschaft des öffentlichen Rechts –
        68 | Gesetz zu dem Staatsvertrag vom 14. Dezember 2012 über die abschließende Aufteilung des Finanzvermögens gemäß Artikel 22 des Einigungsvertrages zwischen dem Bund, den neuen Ländern und Berlin (Finanzvermögen-Staatsvertrag)
        68 | Gesetz zur Verlängerung der Regelung über die Anmietung von Kraftfahrzeugen im Werkverkehr nach dem Einigungsvertrag
        68 | Gesetz zur Neuordnung des Bundesdisziplinarrechts
        67 | Gesetz über Qualität und Sicherheit von menschlichen Geweben und Zellen
        67 | Gesetz über die Auflösung der Staatlichen Versicherung der Deutschen Demokratischen Republik in Abwicklung
        67 | Gesetz zur Neuregelung der geringfügigen Beschäftigungsverhältnisse
        65 | Siebentes Gesetz zur Änderung des Soldatengesetzes
        64 | Zweiter Nachtrag zu dem Gesetz über den Staatsvertrag betreffend den Übergang der Wasserstraßen von den Ländern auf das Reich (Anhang zum Gesetz über die vermögensrechtlichen Verhältnisse der Bundeswasserstraßen)
        64 | Gesetz über die Neuordnung zentraler Einrichtungen des Gesundheitswesens
        64 | Begleitgesetz zum Telekommunikationsgesetz
        64 | Gesetz zur Sicherung der Neutralität der Bundesanstalt für Arbeit bei Arbeitskämpfen
        63 | Gesetz zur Änderung des Gesetzes über die Errichtung einer Stiftung "Hilfswerk für behinderte Kinder"
        62 | Gesetz zur Änderung des Bundesjagdgesetzes
        62 | Drittes Gesetz zur Ergänzung des Gesetzes zur Ausführung des Abkommens vom 27. Februar 1953 über deutsche Auslandsschulden
        61 | Zweites Gesetz zur Änderung des Diätengesetzes 1968
        61 | Gesetz über die weitere Anwendbarkeit des § 25 des Lebensmittel- und Bedarfsgegenständegesetzes
        61 | Gesetz zur Neuregelung der Vorschriften über den Bundesgrenzschutz
        60 | Gesetz betreffend das Übereinkommen der Internationalen Arbeitsorganisation vom 28. Juni 1951 (Nr. 99) über die Verfahren zur Festsetzung von Mindestlöhnen in der Landwirtschaft
        59 | Gesetz zur Änderung und Ergänzung des Seemannsgesetzes
        57 | Gesetz zur Verlängerung des Gesetzes zur Sicherung der Düngemittel- und Saatgutversorgung
        57 | Gesetz über die Auflösung des Bundesverbandes für den Selbstschutz
        56 | Gesetz zur Änderung verwaltungsverfahrensrechtlicher Vorschriften
        55 | Gesetz über das Washingtoner Übereinkommen betreffend die Beschäftigung der Frauen vor und nach der Niederkunft
        55 | Gesetz über die Regelung der Landeszugehörigkeit des Verwaltungsbezirks Oldenburg und des Landkreises Schaumburg-Lippe nach Artikel 29 Abs. 3 Satz 2 des Grundgesetzes
        54 | Gesetz zur Bestimmung der Beitragssätze in der gesetzlichen Rentenversicherung und der Beitragszahlung des Bundes für Kindererziehungszeiten für das Jahr 2003
        54 | Gesetz zur Bestimmung der Beitragssätze in der gesetzlichen Rentenversicherung und der Beitragszahlung des Bundes für Kindererziehungszeiten für das Jahr 2004
        51 | Gesetz betreffend das Internationale Übereinkommen über die Heimschaffung der Schiffsleute
        50 | Gesetz zur Aufhebung des Freihafens Hamburg
        49 | Gesetz zur Änderung des Patentgebührengesetzes und anderer Gesetze
        49 | Gesetz zur Aufhebung des Gesetzes über den Abbau von Salzen im Grenzgebiet an der Werra
        48 | Gesetz zu dem Abkommen vom 29. Mai 1958 zwischen der Bundesrepublik Deutschland und dem Königreich Dänemark über die gemeinsame Fischerei in der Flensburger Innenförde
        47 | Gesetz über das Abkommen vom 5. Mai 1953 zwischen der Bundesrepublik Deutschland und der Italienischen Republik über Sozialversicherung nebst Schlußprotokoll und Zusatzvereinbarung
        46 | Zwölftes Gesetz zur Änderung des Soldatengesetzes
        45 | Zweites Gesetz über Bergmannssiedlungen
        44 | Fünftes Gesetz über die Anpassung der Leistungen des Bundesversorgungsgesetzes
        42 | Gesetz zur Änderung der Beitragssätze in der gesetzlichen Rentenversicherung und bei der Bundesanstalt für Arbeit
        41 | Gesetz zur Neuordnung des Wehrdisziplinarrechts
        41 | Gesetz über Fremdrenten der Sozialversicherung an Berechtigte im Bundesgebiet und im Land Berlin, über Leistungen der Sozialversicherung an Berechtigte im Ausland sowie über freiwillige Sozialversicherung
        38 | Gesetz zur Neuordnung der Versorgungsabschläge
        37 | Gesetz betreffend die Bestrafung des Sklavenraubes und des Sklavenhandels
        36 | Gesetz über die am 6. November 1925 im Haag revidierte Pariser Verbandsübereinkunft zum Schutze des gewerblichen Eigentums
        36 | Gesetz betreffend das Internationale Übereinkommen über die Einrichtung von Verfahren zur Festsetzung von Mindestlöhnen
        32 | Gesetz über die Aufnahme eines Kredits durch den Bund im Rahmen der von den Vereinigten Staaten gewährten Wirtschaftshilfe
        31 | Gesetz zur Festsetzung der Beitragssätze in der gesetzlichen Rentenversicherung für das Jahr 2014
        29 | Gesetz betreffend das Internationale Übereinkommen über die Gewährung einer Entschädigung für Arbeitslosigkeit infolge von Schiffbruch
        29 | Gesetz zu dem Internationalen Übereinkommen vom 13. Dezember 1960 über Zusammenarbeit zur Sicherung der Luftfahrt "EUROCONTROL"
        29 | Gesetz zur Festsetzung der Beitragssätze in der gesetzlichen Rentenversicherung für das Jahr 2013
        25 | Gesetz betreffend das Internationale Übereinkommen über den Heuervertrag der Schiffsleute
        24 | Gesetz über die Internationalen Übereinkommen betreffend die Krankenversicherung der Arbeitnehmer in Gewerbe und Handel und der Hausgehilfen sowie die Krankenversicherung der Arbeitnehmer in der Landwirtschaft
        24 | Gesetz zur Aufhebung des Modulationsgesetzes
        23 | Gesetz zur Beschleunigung von Genehmigungsverfahren
         0 | Gesetz zum Beitritt der Bundesrepublik Deutschland zur Charta der Vereinten Nationen
         0 | Gesetz zu den Abkommen über die Zusammenarbeit bei der Bekämpfung der Organisierten Kriminalität zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Republik Litauen vom 23. Februar 2001 und zwischen der Regierung der Bundesrepublik Deutschland und der Regierung der Republik Slowenien vom 2. März 2001
